Geography,Date,Weekly Deaths,Death Data As Of
United States,Sep 30 2023,615,Oct  5 2023
United States,Sep 23 2023,1029,Oct  5 2023
United States,Sep 16 2023,1213,Oct  5 2023
United States,Sep  9 2023,1222,Oct  5 2023
United States,Sep  2 2023,1128,Oct  5 2023
United States,Aug 26 2023,1009,Oct  5 2023
United States,Aug 19 2023,887,Oct  5 2023
United States,Aug 12 2023,737,Oct  5 2023
United States,Aug  5 2023,658,Oct  5 2023
United States,Jul 29 2023,533,Oct  5 2023
United States,Jul 22 2023,525,Oct  5 2023
United States,Jul 15 2023,505,Oct  5 2023
United States,Jul  8 2023,477,Oct  5 2023
United States,Jul  1 2023,535,Oct  5 2023
United States,Jun 24 2023,572,Oct  5 2023
United States,Jun 17 2023,602,Oct  5 2023
United States,Jun 10 2023,625,Oct  5 2023
United States,Jun  3 2023,682,Oct  5 2023
United States,May 27 2023,735,Oct  5 2023
United States,May 20 2023,755,Oct  5 2023
United States,May 13 2023,828,Oct  5 2023
United States,May  6 2023,939,Oct  5 2023
United States,Apr 29 2023,1018,Oct  5 2023
United States,Apr 22 2023,1188,Oct  5 2023
United States,Apr 15 2023,1216,Oct  5 2023
United States,Apr  8 2023,1366,Oct  5 2023
United States,Apr  1 2023,1442,Oct  5 2023
United States,Mar 25 2023,1665,Oct  5 2023
United States,Mar 18 2023,1759,Oct  5 2023
United States,Mar 11 2023,1845,Oct  5 2023
United States,Mar  4 2023,1988,Oct  5 2023
United States,Feb 25 2023,2151,Oct  5 2023
United States,Feb 18 2023,2095,Oct  5 2023
United States,Feb 11 2023,2343,Oct  5 2023
United States,Feb  4 2023,2639,Oct  5 2023
United States,Jan 28 2023,2905,Oct  5 2023
United States,Jan 21 2023,3240,Oct  5 2023
United States,Jan 14 2023,3682,Oct  5 2023
United States,Jan  7 2023,3864,Oct  5 2023
United States,Dec 31 2022,3657,Oct  5 2023
United States,Dec 24 2022,3318,Oct  5 2023
United States,Dec 17 2022,3183,Oct  5 2023
United States,Dec 10 2022,3031,Oct  5 2023
United States,Dec  3 2022,2589,Oct  5 2023
United States,Nov 26 2022,2493,Oct  5 2023
United States,Nov 19 2022,2255,Oct  5 2023
United States,Nov 12 2022,2200,Oct  5 2023
United States,Nov  5 2022,2246,Oct  5 2023
United States,Oct 29 2022,2241,Oct  5 2023
United States,Oct 22 2022,2192,Oct  5 2023
United States,Oct 15 2022,2144,Oct  5 2023
United States,Oct  8 2022,2194,Oct  5 2023
United States,Oct  1 2022,2374,Oct  5 2023
United States,Sep 24 2022,2543,Oct  5 2023
United States,Sep 17 2022,2509,Oct  5 2023
United States,Sep 10 2022,2805,Oct  5 2023
United States,Sep  3 2022,2926,Oct  5 2023
United States,Aug 27 2022,3049,Oct  5 2023
United States,Aug 20 2022,3166,Oct  5 2023
United States,Aug 13 2022,3284,Oct  5 2023
United States,Aug  6 2022,3370,Oct  5 2023
United States,Jul 30 2022,3401,Oct  5 2023
United States,Jul 23 2022,3224,Oct  5 2023
United States,Jul 16 2022,2929,Oct  5 2023
United States,Jul  9 2022,2588,Oct  5 2023
United States,Jul  2 2022,2419,Oct  5 2023
United States,Jun 25 2022,2327,Oct  5 2023
United States,Jun 18 2022,2194,Oct  5 2023
United States,Jun 11 2022,2137,Oct  5 2023
United States,Jun  4 2022,2006,Oct  5 2023
United States,May 28 2022,1940,Oct  5 2023
United States,May 21 2022,1742,Oct  5 2023
United States,May 14 2022,1673,Oct  5 2023
United States,May  7 2022,1433,Oct  5 2023
United States,Apr 30 2022,1426,Oct  5 2023
